scenario,source,candidate,time_hours,error,interval_seconds,integral,derivative,integral_step_seconds,cycle_changed,observed_interval_seconds,observed_integral
historical,sanitized-historical,ti-half-hour,1.666389,-1.246,35707.307621,536466.7,-0.000167,300,false,35759,1075332.2
historical,sanitized-historical,ti-half-hour,1.833056,-1.345,35674.44236,536063.2,-0.000167,300,false,35736,1074928.6
historical,sanitized-historical,ti-half-hour,2,-1.444,35639.603638,535630,-0.000166,300,false,35713,1074495.3
historical,sanitized-historical,ti-half-hour,2.166667,-1.544,35602.754546,535166.8,-0.000166,300,false,35689,1074032.2
historical,sanitized-historical,ti-half-hour,2.286111,-1.613,35564.983237,534682.9,-0.000165,300,false,35664,1073548.2
historical,sanitized-historical,ti-half-hour,2.333333,-1.643,35531.09915,534403.59,-0.000166,170,false,35643,1073268.8
historical,sanitized-historical,ti-half-hour,2.434722,-1.702,35495.406429,533892.99,-0.000165,300,false,35621,1072758.1
historical,sanitized-historical,ti-half-hour,2.499722,-1.742,35460.642801,533485.362,-0.000166,234,false,35599,1072351.1
historical,sanitized-historical,ti-half-hour,2.601667,-1.802,35423.760275,532944.762,-0.000166,300,false,35577,1071810.7
historical,sanitized-historical,ti-half-hour,2.666667,-1.841,35387.748427,532513.968,-0.000166,234,false,35556,1071379.7
historical,sanitized-historical,ti-half-hour,2.768056,-1.901,35349.434642,531943.668,-0.000166,300,false,35533,1070809.5
historical,sanitized-historical,ti-half-hour,2.833056,-1.94,35311.963244,531489.708,-0.000166,234,false,35511,1070353.9
historical,sanitized-historical,ti-half-hour,2.906944,-1.98,35273.88258,530963.028,-0.000164,266,false,35489,1069827.6
historical,sanitized-historical,ti-half-hour,3.018889,-2.05,35232.971256,530348.028,-0.000166,300,false,35465,1069212.7
historical,sanitized-historical,ti-half-hour,3.185833,-2.149,35188.572852,529703.328,-0.000165,300,false,35439,1068568.1
historical,sanitized-historical,ti-half-hour,3.352222,-2.248,35141.064053,529028.928,-0.000165,300,false,35411,1067893.7
historical,sanitized-historical,ti-half-hour,3.52,-2.347,35090.727611,528324.828,-0.000165,300,false,35381,1067189.5
